artist,image_ref,caption,styles,motifs,collection,is_best_example
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1688.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1689.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1690.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1691.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1692.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1693.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1694.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1695.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1696.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1697.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1698.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1699.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1700.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1701.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1702.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1703.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1704.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/IMG_1705.PNG,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/4th-of-july/Untitled_Artwork.png,4th of July flash design,traditional;neo-traditional,patriotic;eagle;flag;liberty,4th-of-july,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1708.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1709.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1710.PNG,Build-a-pin base design,traditional;illustrative,charm;build-a-pin;pin-base,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1711.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
Ladies First Flash,flash://ladies8391/build-a-pin/IMG_1712.PNG,Build-a-pin charm design,traditional;illustrative,charm;build-a-pin,build-a-pin,false
